best.epoch,best.epoch_seconds,best.hist_count_mae,best.hist_proportion_mae,best.instance_digit_acc,best.loss,best.peak_cuda_mem_mb,best.train_loss,config.bag_size_mean,config.bag_size_std,config.dataset,config.dataset_root,config.experiment,config.loss,config.seed,config.train_bags,run_dir,source
49,45.44760711118579,0.18435843288898468,0.018778493627905846,0.9522565007209778,0.0009141265898942948,1238.5234375,0.0009013573117554188,10,2,MNIST,data,mnist_histogram_llp,mse,1,1000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train1000_s1/mnist_histogram_llp/mse/MNIST/20260505T075641Z_gpusystem_s1,results/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train1000_s1/mnist_histogram_llp_mse_s1.json
50,27.64875430241227,0.1790827065706253,0.018235666677355766,0.9586976170539856,0.0008544139708392322,1238.46044921875,0.0008752675950527191,10,2,MNIST,data,mnist_histogram_llp,mse,2,1000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train1000_s2/mnist_histogram_llp/mse/MNIST/20260505T075641Z_gpusystem_s2,results/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train1000_s2/mnist_histogram_llp_mse_s2.json
43,0.8299944847822189,0.12903062999248505,0.013094869442284107,0.9731658101081848,0.0005197820561006665,1312.4658203125,0.0006340406776405871,10,2,MNIST,data,mnist_histogram_llp,mse,0,5000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train5000_s0/mnist_histogram_llp/mse/MNIST/20260505T082510Z_gpusystem_s0,results/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train5000_s0/mnist_histogram_llp_mse_s0.json
40,88.87854300811887,0.12872374057769775,0.013062766753137112,0.9748718738555908,0.0005327038546092808,1311.79248046875,0.000631699794717133,10,2,MNIST,data,mnist_histogram_llp,mse,1,5000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train5000_s1/mnist_histogram_llp/mse/MNIST/20260505T085800Z_gpusystem_s1,results/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train5000_s1/mnist_histogram_llp_mse_s1.json
50,0.7797996625304222,0.12976807355880737,0.013199004344642162,0.9749773740768433,0.000518347695004195,1311.79248046875,0.0005722869683988393,10,2,MNIST,data,mnist_histogram_llp,mse,2,5000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train5000_s2/mnist_histogram_llp/mse/MNIST/20260505T100750Z_gpusystem_s2,results/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train5000_s2/mnist_histogram_llp_mse_s2.json
6,61.13377804681659,1.6820944547653198,0.03451921418309212,0.11556708067655563,0.0018856598613783717,5998.5576171875,0.001803294437006116,50,10,MNIST,data,mnist_histogram_llp,mse,0,1000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train1000_s0/mnist_histogram_llp/mse/MNIST/20260505T100750Z_gpusystem_s0,results/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train1000_s0/mnist_histogram_llp_mse_s0.json
7,54.238933365792036,1.6823686361312866,0.03453102707862854,0.11562123149633408,0.0018873789925128222,5998.5576171875,0.0018062723809853195,50,10,MNIST,data,mnist_histogram_llp,mse,1,1000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train1000_s1/mnist_histogram_llp/mse/MNIST/20260505T104939Z_gpusystem_s1,results/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train1000_s1/mnist_histogram_llp_mse_s1.json
4,58.402685817331076,1.682998538017273,0.03453667461872101,0.1156250610947609,0.0018872090671211482,5998.5576171875,0.0018081402983516454,50,10,MNIST,data,mnist_histogram_llp,mse,2,1000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train1000_s2/mnist_histogram_llp/mse/MNIST/20260505T112849Z_gpusystem_s2,results/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train1000_s2/mnist_histogram_llp_mse_s2.json
1,132.03181163966656,1.6837248802185059,0.03455042466521263,0.11556708067655563,0.0018888903623446823,6452.4912109375,0.0018763980481773614,50,10,MNIST,data,mnist_histogram_llp,mse,0,5000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train5000_s0/mnist_histogram_llp/mse/MNIST/20260505T120756Z_gpusystem_s0,results/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train5000_s0/mnist_histogram_llp_mse_s0.json
3,146.64050234481692,1.6837626695632935,0.034553758800029755,0.11562123149633408,0.0018900486510246993,6452.4912109375,0.0018708784526214003,50,10,MNIST,data,mnist_histogram_llp,mse,1,5000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train5000_s1/mnist_histogram_llp/mse/MNIST/20260505T120756Z_gpusystem_s1,results/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train5000_s1/mnist_histogram_llp_mse_s1.json
5,125.23952676355839,1.6836216449737549,0.03454657271504402,0.1156250610947609,0.0018887427980080248,6452.4912109375,0.00187350688315928,50,10,MNIST,data,mnist_histogram_llp,mse,2,5000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train5000_s2/mnist_histogram_llp/mse/MNIST/20260505T140001Z_gpusystem_s2,results/server4090_histogram_llp/mnist_histogram_llp_mse_n50_train5000_s2/mnist_histogram_llp_mse_s2.json
