best.bag_acc,best.bag_auc,best.count_acc,best.count_mae,best.epoch,best.epoch_seconds,best.expected_signed_count_mae,best.expected_sum_mae,best.instance_acc,best.instance_auc,best.instance_digit_acc,best.nll,best.peak_cuda_mem_mb,best.signed_count_acc,best.signed_count_mae,best.sum_acc,best.sum_mae,best.train_nll,best.zero_expected_abs_error,best.zero_fraction,best.zero_signed_count_acc,config.bag_size_mean,config.bag_size_std,config.balanced_binary,config.cancellation_heavy,config.dataset,config.dataset_root,config.em_temperature,config.entropy_weight,config.experiment,config.method,config.objective,config.seed,config.target_digit,config.train_bags,run_dir,source
0.9539999961853027,1.0,0.6890000104904175,0.4740000069141388,18,78.9081120826304,,,0.9915168881416321,0.9995147576270713,,1.1307303485870361,6451.91064453125,,,,,0.015305464689433574,,,,50,10,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,0,9,5000,runs/neurips_pilot_preleave_20260504_1619_bs192/posterior_hard_em_n50_train5000_s0/mnist_bags/conv_hard_em/MNIST/20260505T005626Z_gpusystem_s0,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n50_train5000_s0/mnist_bags_conv_hard_em_s0.json
0.9769999980926514,0.99994,0.7070000171661377,0.47200000286102295,40,90.46918201074004,,,0.9913751482963562,0.9997377349225481,,1.288021104812622,6451.91064453125,,,,,0.005348678355664015,,,,50,10,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,1,9,5000,runs/neurips_pilot_preleave_20260504_1619_bs192/posterior_hard_em_n50_train5000_s1/mnist_bags/conv_hard_em/MNIST/20260505T023736Z_gpusystem_s1,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n50_train5000_s1/mnist_bags_conv_hard_em_s1.json
0.9480000138282776,1.0,0.6629999876022339,0.5440000295639038,20,103.3742281794548,,,0.9899290204048157,0.9991113841412321,,1.3146997566223144,6453.31689453125,,,,,0.015428755506873131,,,,50,10,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,2,9,5000,runs/neurips_pilot_preleave_20260504_1619_bs192/posterior_hard_em_n50_train5000_s2/mnist_bags/conv_hard_em/MNIST/20260505T035247Z_gpusystem_s2,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n50_train5000_s2/mnist_bags_conv_hard_em_s2.json
0.9549999833106995,0.999968,0.878000020980835,0.12700000405311584,25,31.211097482591867,,,0.9866331815719604,0.9985772420463431,,0.3234059143066406,431.9638671875,,,,,0.14588338196277617,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,nll,0,9,1000,runs/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train1000_s0/mnist_bags/conv_nll/MNIST/20260504T163350Z_gpusystem_s0,results/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train1000_s0/mnist_bags_conv_s0.json
0.984000027179718,0.999544,0.8880000114440918,0.11800000071525574,35,22.04398261383176,,,0.9880390167236328,0.999257054857238,,0.3495895137786865,431.3544921875,,,,,0.0494779796898365,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,nll,1,9,1000,runs/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train1000_s1/mnist_bags/conv_nll/MNIST/20260504T165706Z_gpusystem_s1,results/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train1000_s1/mnist_bags_conv_s1.json
0.9829999804496765,0.999968,0.9070000052452087,0.10000000149011612,48,31.372836120426655,,,0.9894483089447021,0.9987351571088622,,0.323060320854187,432.787109375,,,,,0.0364565931558609,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,nll,2,9,1000,runs/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train1000_s2/mnist_bags/conv_nll/MNIST/20260504T174455Z_gpusystem_s2,results/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train1000_s2/mnist_bags_conv_s2.json
0.949999988079071,0.99998,0.8930000066757202,0.10999999940395355,5,91.70812219008803,,,0.9887437224388123,0.9991693933407416,,0.274254451751709,455.36962890625,,,,,0.2531122983932495,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,nll,0,9,5000,runs/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train5000_s0/mnist_bags/conv_nll/MNIST/20260504T180841Z_gpusystem_s0,results/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train5000_s0/mnist_bags_conv_s0.json
0.9810000061988831,0.9996,0.921999990940094,0.07900000363588333,7,88.61970951780677,,,0.9923610687255859,0.9994672438191958,,0.215288339138031,455.44775390625,,,,,0.17350160021185876,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,nll,1,9,5000,runs/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train5000_s1/mnist_bags/conv_nll/MNIST/20260504T194207Z_gpusystem_s1,results/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train5000_s1/mnist_bags_conv_s1.json
0.9940000176429749,0.999964,0.9259999990463257,0.07999999821186066,26,86.99006570503116,,,0.9917595982551575,0.9996863140165697,,0.2906109490394592,455.49462890625,,,,,0.0221810626745224,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,nll,2,9,5000,runs/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train5000_s2/mnist_bags/conv_nll/MNIST/20260504T205205Z_gpusystem_s2,results/neurips_pilot_preleave_20260504_1619/posterior_nll_n10_train5000_s2/mnist_bags_conv_s2.json
0.8700000047683716,1.0,0.5820000171661377,0.722000002861023,22,21.30688502639532,,,0.9856671690940857,0.9981457573421397,,1.5371300888061523,2018.04248046875,,,,,1.31593368434906,,,,50,10,True,,MNIST,data,0.5,0.01,mnist_bags,conv,nll,0,9,1000,runs/neurips_pilot_preleave_20260504_1619/posterior_nll_n50_train1000_s0/mnist_bags/conv_nll/MNIST/20260504T231243Z_gpusystem_s0,results/neurips_pilot_preleave_20260504_1619/posterior_nll_n50_train1000_s0/mnist_bags_conv_s0.json
